Question,Answer
What is the difference between potential and kinetic energy?,"Potential energy is stored energy based on an object's position or configuration, while kinetic energy is the energy of motion. For example, a ball at the top of a hill has potential energy, which converts to kinetic energy as it rolls down."
Explain how binary search works in computer science?,"Binary search is a search algorithm that finds a target value in a sorted array by repeatedly dividing the search space in half. It compares the target with the middle element and eliminates half the remaining elements based on whether the target is greater or lesser, achieving O(log n) time complexity."
What is the significance of the periodic table's organization?,"The periodic table organizes elements by atomic number and electron configuration, creating patterns in chemical properties. Elements in the same column (group) have similar chemical behaviors due to their similar outer electron arrangements, while rows (periods) show trends in atomic size and electronegativity."
How does a transistor function in electronic circuits?,A transistor acts as a switch or amplifier in electronic circuits by controlling the flow of current between two terminals based on the voltage applied to a third terminal. This fundamental component enables the creation of logic gates and forms the basis of modern digital electronics.
What is the quadratic formula and when is it used?,"The quadratic formula (-b ± √(b² - 4ac))/(2a) solves quadratic equations in the form ax² + bx + c = 0. It's used when you need to find the x-values (roots) where a parabola crosses the x-axis, providing either two real solutions, one real solution, or two complex solutions."
How does photosynthesis convert light energy into chemical energy?,"Photosynthesis uses chlorophyll to absorb light energy, which powers the conversion of water and carbon dioxide into glucose and oxygen. The process occurs in two stages: light-dependent reactions that produce ATP and NADPH, and the Calvin cycle that uses these products to create glucose."
What is the difference between series and parallel circuits?,"In series circuits, components are connected end-to-end, sharing the same current but dividing the voltage. In parallel circuits, components are connected across the same voltage source, dividing the current but maintaining equal voltage. This affects how the circuit functions and fails."
How does natural selection drive evolution?,"Natural selection occurs when organisms with advantageous traits survive and reproduce more successfully, passing these traits to offspring. Over generations, this process leads to populations better adapted to their environment, potentially resulting in new species through accumulated changes."
What is the law of conservation of momentum?,"The law of conservation of momentum states that in a closed system, the total momentum remains constant unless acted upon by external forces. This principle explains why objects maintain their motion and is crucial in understanding collisions and rocket propulsion."
How does a compiler convert high-level code to machine code?,"A compiler translates human-readable high-level code into machine code through several stages: lexical analysis breaks code into tokens, parsing creates an abstract syntax tree, semantic analysis checks for errors, and code generation produces optimized machine instructions."
What is the role of enzymes in chemical reactions?,"Enzymes are biological catalysts that lower the activation energy required for chemical reactions without being consumed. They work by binding to specific substrates at their active sites, enabling faster reaction rates and maintaining cellular processes essential for life."
How does the Pythagorean theorem relate to real-world applications?,"The Pythagorean theorem (a² + b² = c²) calculates the relationship between sides of a right triangle. It's used in construction, navigation, and engineering to determine distances, ensure perpendicular alignment, and calculate unknown dimensions in right-angled structures."
What is the difference between RAM and ROM in computers?,"RAM (Random Access Memory) is volatile memory that temporarily stores active programs and data for quick access by the CPU, while ROM (Read-Only Memory) is non-volatile memory that permanently stores essential startup instructions and firmware that persist without power."
How do Newton's laws of motion describe physical interactions?,"Newton's three laws describe fundamental motion principles: objects maintain their motion unless acted upon by forces, force equals mass times acceleration (F=ma), and every action has an equal and opposite reaction. These laws form the foundation of classical mechanics."
"What is the relationship between voltage, current, and resistance?","Ohm's Law (V=IR) states that voltage equals current multiplied by resistance. This fundamental relationship shows that increasing voltage increases current proportionally, while increasing resistance decreases current proportionally, assuming other variables remain constant."
